,wave,wave_years,country,respondent_number,year,sex,age,ethnic,status,top_earner,town_size,job,politician,university,women_movement,abortion,divorce,income_equality,choice_control
20886,WVS7,2017-2022,China,156720116.0,2018,Female,38.0,CN: Chinese,Married,No,50-100000,3,4,4,3,1,1,1,9
20887,WVS7,2017-2022,China,156720117.0,2018,Female,30.0,CN: Chinese,Divorced,No,50-100000,1,4,4,4,5,5,6,5
20888,WVS7,2017-2022,China,156720118.0,2018,Female,62.0,CN: Chinese,Married,No,50-100000,1,5,5,4,1,1,1,10
20889,WVS7,2017-2022,China,156720119.0,2018,Female,45.0,CN: Chinese,Married,No,50-100000,3,2,4,3,1,10,9,6
20890,WVS7,2017-2022,China,156720120.0,2018,Male,64.0,CN: Chinese,Married,Yes,50-100000,1,1,4,4,1,5,8,5
20891,WVS7,2017-2022,China,156720121.0,2018,Female,63.0,CN: Chinese,Married,No,50-100000,1,2,4,3,1,1,3,10
20893,WVS7,2017-2022,China,156720123.0,2018,Female,37.0,CN: Chinese,Married,No,100-500000,1,4,4,4,1,1,5,3
20894,WVS7,2017-2022,China,156720124.0,2018,Female,68.0,CN: Chinese,Married,No,100-500000,1,4,4,3,1,1,3,5
20895,WVS7,2017-2022,China,156720125.0,2018,Male,62.0,CN: Chinese,Married,No,100-500000,2,2,4,3,1,1,2,8
20896,WVS7,2017-2022,China,156720126.0,2018,Female,29.0,CN: Chinese,Married,No,100-500000,3,2,4,4,5,1,10,8
20897,WVS7,2017-2022,China,156720127.0,2018,Female,50.0,CN: Chinese,Married,No,100-500000,3,2,4,3,1,1,3,10
20898,WVS7,2017-2022,China,156720128.0,2018,Female,37.0,CN: Chinese,Married,No,100-500000,1,4,4,3,1,2,3,5
20899,WVS7,2017-2022,China,156720129.0,2018,Female,19.0,CN: Chinese,Single/Never married,No,100-500000,3,4,4,4,3,3,7,6
20900,WVS7,2017-2022,China,156720130.0,2018,Male,66.0,CN: Chinese,Married,No,100-500000,1,2,4,3,5,3,4,8
20901,WVS7,2017-2022,China,156720131.0,2018,Female,56.0,CN: Chinese,Married,No,100-500000,1,2,4,3,1,1,10,7
20902,WVS7,2017-2022,China,156720132.0,2018,Female,40.0,CN: Chinese,Married,Yes,100-500000,1,2,2,3,2,2,10,7
20903,WVS7,2017-2022,China,156720133.0,2018,Female,46.0,CN: Chinese,Married,No,100-500000,3,4,5,3,1,1,9,8
